name,type_code,type,place,district,state,latitude,longitude,source_id,village_id
Pimparkhed,PHC,Primary Health Centre,"Pimparkhed, NANDGAON",Nashik,MAHARASHTRA,20.306176999829542,74.78637000020345,1610,183345
Kazisangvi,PHC,Primary Health Centre,"Chandvad, CHANDVAD",Nashik,MAHARASHTRA,20.319869999849626,74.25792999943808,1614,182736
Pandane,PHC,Primary Health Centre,"Charose, DINDORI",Nashik,MAHARASHTRA,20.3356100002018,73.67515999988359,1618,182874
Naydongri,PHC,Primary Health Centre,"Birole, NANDGAON",Nashik,MAHARASHTRA,20.364819999487057,74.81367000021554,1621,183288
Pimpalgaon Baswant,PHC,Primary Health Centre,"Koshimbe, DINDORI",Nashik,MAHARASHTRA,20.370159999456202,73.76940999981832,1623,182919
Palkhed,PHC,Primary Health Centre,"Koshimbe, DINDORI",Nashik,MAHARASHTRA,20.370210000532012,73.76946000004703,1624,182919
Ambe,PHC,Primary Health Centre,"Ambe, PEINT",Nashik,MAHARASHTRA,20.372992000027317,73.50640200012876,1625,183553
Dhondegaon,PHC,Primary Health Centre,"Mahatma Fule Nagar, DEOLA",Nashik,MAHARASHTRA,20.414450000006237,74.3184999998212,1632,182834
Sonaj,PHC,Primary Health Centre,"Shirsondi, MALEGAON",Nashik,MAHARASHTRA,20.417390000661925,74.4195399993743,1634,183254
Saundane,PHC,Primary Health Centre,"Shirsondi, MALEGAON",Nashik,MAHARASHTRA,20.417420000198803,74.41957000040982,1635,183254
Nanduri,PHC,Primary Health Centre,"Nanduri, KALWAN",Nashik,MAHARASHTRA,20.420412999191345,73.90178400004946,1636,183121
Dahiwad,PHC,Primary Health Centre,"Bhilwad, DEOLA",Nashik,MAHARASHTRA,20.43000000025722,74.20400000068207,1637,182855
Nimgaon,PHC,Primary Health Centre,"Malagaon, MALEGAON",Nashik,MAHARASHTRA,20.48669999937641,74.61495000030929,1644,183213
Malgaon,PHC,Primary Health Centre,"Malagaon, MALEGAON",Nashik,MAHARASHTRA,20.48669999937641,74.61495000030929,1645,183213
Otur,PHC,Primary Health Centre,"Navi Bej, KALWAN",Nashik,MAHARASHTRA,20.505530000253916,74.04563000029519,1649,183123
Mokbhangi,PHC,Primary Health Centre,"Navi Bej, KALWAN",Nashik,MAHARASHTRA,20.505570000241924,74.04566999957984,1650,183123
Navi Bej,PHC,Primary Health Centre,"Navi Bej, KALWAN",Nashik,MAHARASHTRA,20.51586000018595,74.07333900056115,1653,183123
