name,type_code,type,place,district,state,latitude,longitude,source_id,village_id
Shankarnagar,PHC,Primary Health Centre,"Ramtirth, BILOLI",Nanded,MAHARASHTRA,18.765610000216657,77.59059699922656,389,180953
Wadgaon,PHC,Primary Health Centre,"Akola Bajar, YAVATMAL",Yavatmal,MAHARASHTRA,20.162642999304794,78.15124500035604,3830,194758
Hatnoor,PHC,Primary Health Centre,"Hatnoor, KANNAD",Aurangabad,MAHARASHTRA,20.164315000394495,75.13156099978647,3831,170497
Andhera,PHC,Primary Health Centre,"Andhera, DEOLGAON RAJA",Buldhana,MAHARASHTRA,20.172320999748973,76.24211899927984,3832,172659
Shirpur,PHC,Primary Health Centre,"Shirpur, MALEGAON",Washim,MAHARASHTRA,20.175856000244487,76.95373499963605,3833,193367
Belora,PHC,Primary Health Centre,"Belura, YAVATMAL",Yavatmal,MAHARASHTRA,20.17645100012084,78.00598100045119,3834,194764
Shelgaon Atol,PHC,Primary Health Centre,"Shelgaon  Atol, CHIKHLI",Buldhana,MAHARASHTRA,20.177824000054567,76.16702099945584,3835,172639
Loni,PHC,Primary Health Centre,"Loni, ARNI",Yavatmal,MAHARASHTRA,20.17907760014649,77.93449509943521,3836,193746
Chapaner,PHC,Primary Health Centre,"Chapaner, KANNAD",Aurangabad,MAHARASHTRA,20.179320999526038,75.06591100042047,3837,170472
Pathari,PHC,Primary Health Centre,"Kargaon Chak, SAWALI",Chandrapur,MAHARASHTRA,20.18173449961816,79.83807779991234,3838,174003
Pardi Takomor,PHC,Primary Health Centre,"Pardi Takmor, WASHIM",Washim,MAHARASHTRA,20.182300999387,77.22702000016213,3839,193671
Dongaon,PHC,Primary Health Centre,"Dongaon, MEHKAR",Buldhana,MAHARASHTRA,20.183332999935768,76.71666700002572,3840,172971
Bodali,PHC,Primary Health Centre,"Mendha, GADCHIROLI",Gadchiroli,MAHARASHTRA,20.18971300000346,80.0730369999016,3841,175033
Rajoli,PHC,Primary Health Centre,"Padzari, MUL",Chandrapur,MAHARASHTRA,20.190539100304196,79.68669330039737,3842,173782
Chikalthan,PHC,Primary Health Centre,"Chikhalthan, KANNAD",Aurangabad,MAHARASHTRA,20.19156599945259,75.1944480005274,3843,170473
Harsul,PHC,Primary Health Centre,"Gandhinagar, DIGRAS",Yavatmal,MAHARASHTRA,20.192613000674065,77.66372700046884,3844,193944
Khasgaon,PHC,Primary Health Centre,"Nimkheda Bk., JAFFERABAD",Jalna,MAHARASHTRA,20.19321700074299,76.05419800044191,3845,177888
Mardi,PHC,Primary Health Centre,"Mardi, MAREGAON",Yavatmal,MAHARASHTRA,20.194707320086764,78.84424218036705,3846,194303
Sakhar kherda,PHC,Primary Health Centre,"Sakhar Kherda, SINDKHED RAJA",Buldhana,MAHARASHTRA,20.201635000474035,76.39775100025777,3847,173331
Aland,PHC,Primary Health Centre,"Naigaon, SILLOD",Aurangabad,MAHARASHTRA,20.202355560240104,75.55096110993158,3848,170729
Antargaon,PHC,Primary Health Centre,"Bhanapur, SAWALI",Chandrapur,MAHARASHTRA,20.203287699990632,79.90527679935703,3849,173982
Dahegaon Joshi,PHC,Primary Health Centre,"Dahegaon, RALEGAON",Yavatmal,MAHARASHTRA,20.20421199979174,78.70742799992597,3850,194507
Navegaon Khairi,PHC,Primary Health Centre,"Dahegaon, RALEGAON",Yavatmal,MAHARASHTRA,20.205501000656287,78.71841400059202,3851,194507
Babra,PHC,Primary Health Centre,"Babra, SILLOD",Aurangabad,MAHARASHTRA,20.20907221962965,75.42789999994646,3854,170731
Nandori,PHC,Primary Health Centre,"Kalamgavhan, WARORA",Chandrapur,MAHARASHTRA,20.215464000512927,78.96560699980455,3855,174157
Antri khedekar,PHC,Primary Health Centre,"Antri Khedekar, CHIKHLI",Buldhana,MAHARASHTRA,20.217485999500575,76.29244100003712,3856,172567
Kasola,PHC,Primary Health Centre,"Kasola, MANGRULPIR",Washim,MAHARASHTRA,20.21774399973474,77.29293800021503,3857,193421
Dhanora,PHC,Primary Health Centre,"Dhanora, YAVATMAL",Yavatmal,MAHARASHTRA,20.22040499974922,78.25864999938,3858,194783
Warad,PHC,Primary Health Centre,"Wardh, RALEGAON",Yavatmal,MAHARASHTRA,20.227829999848893,78.56070899965377,3862,194556
Mohadi Naleshwar,PHC,Primary Health Centre,"Chak Alesur, SINDEWAHI",Chandrapur,MAHARASHTRA,20.228182000286733,79.57720079990942,3863,174036
Deulgaon Mali,PHC,Primary Health Centre,"Shelgaon Kakde, MEHKAR",Buldhana,MAHARASHTRA,20.229422000174555,76.46141100040239,3864,173029
Kinhiraja,PHC,Primary Health Centre,"Malegaon Jahangir, MALEGAON",Washim,MAHARASHTRA,20.236018999960773,76.99730700005966,3866,193348
Alegaon,PHC,Primary Health Centre,"Brahmapuri, MEHKAR",Buldhana,MAHARASHTRA,20.24144400061237,76.50530699979277,3867,172965
Malsur,PHC,Primary Health Centre,"Pokhari, MEHKAR",Buldhana,MAHARASHTRA,20.25460700031412,76.46416999972776,3868,173031
Mudholi,PHC,Primary Health Centre,"Mudholi, BHADRAVATI",Chandrapur,MAHARASHTRA,20.255787499474465,79.29232680009126,3869,173413
Mahora,PHC,Primary Health Centre,"Warud Bk., JAFFERABAD",Jalna,MAHARASHTRA,20.25708400057523,76.12823699973364,3870,177912
Warud Bk.,PHC,Primary Health Centre,"Warud Bk., JAFFERABAD",Jalna,MAHARASHTRA,20.258976000246946,76.13250699950292,3872,177912
Chandan Kheda,PHC,Primary Health Centre,"Borgaon Dhande, BHADRAVATI",Chandrapur,MAHARASHTRA,20.26198930019823,79.21409719952499,3873,173383
Godalwahi,PHC,Primary Health Centre,"Dhanora, DHANORA",Gadchiroli,MAHARASHTRA,20.263162999773353,80.32164600002176,3874,174918
Patur,PHC,Primary Health Centre,"Sawatra, MEHKAR",Buldhana,MAHARASHTRA,20.27241499918601,76.5625160002528,3875,173026
Wasera,PHC,Primary Health Centre,"Wasera, SINDEWAHI",Chandrapur,MAHARASHTRA,20.27836859982448,79.58000990007484,3877,174087
Saykheda,PHC,Primary Health Centre,"Saikhed, DARWHA",Yavatmal,MAHARASHTRA,20.280000000771523,77.80999999977887,3878,193911
Dhaba,PHC,Primary Health Centre,"Lakhamapur, MANGRULPIR",Washim,MAHARASHTRA,20.28156699995921,77.48060000038348,3880,193439
Amirza,PHC,Primary Health Centre,"Amirza, GADCHIROLI",Gadchiroli,MAHARASHTRA,20.28305000018181,80.11496500071027,3881,175005
Gunjewahi,PHC,Primary Health Centre,"Indiranagar (N.V.), SINDEWAHI",Chandrapur,MAHARASHTRA,20.28792630018134,79.65796320041927,3883,174079
Janefal,PHC,Primary Health Centre,"Janefal, MEHKAR",Buldhana,MAHARASHTRA,20.29118099984214,76.57608000049424,3884,172985
Mahan,PHC,Primary Health Centre,"Umari (I), DARWHA",Yavatmal,MAHARASHTRA,20.29269600034165,77.9494900000416,3885,193925
Nachanwel,PHC,Primary Health Centre,"Koparwel, KANNAD",Aurangabad,MAHARASHTRA,20.298547000113942,75.42616599991985,3886,170529
Dhamak,PHC,Primary Health Centre,"Pimpri Kh., DARWHA",Yavatmal,MAHARASHTRA,20.300970489819075,77.84161076959936,3887,193912
Kupta,PHC,Primary Health Centre,"Kupta, MANORA",Washim,MAHARASHTRA,20.30148600010695,77.56210300075963,3888,193508
Babhulgaon,PHC,Primary Health Centre,"Hiwara Kh., MEHKAR",Buldhana,MAHARASHTRA,20.30188100034619,76.52387200027269,3889,172982
Sasti,PHC,Primary Health Centre,"Kalambeshwar, MEHKAR",Buldhana,MAHARASHTRA,20.302425000342602,76.50101199990918,3890,172988
Jaulka,PHC,Primary Health Centre,"Jaulka, MALEGAON",Washim,MAHARASHTRA,20.30341800007483,77.0677190001878,3891,193330
Madheli,PHC,Primary Health Centre,"Bamarda, WARORA",Chandrapur,MAHARASHTRA,20.308942300130344,78.85171210045087,3892,174127
Wadhona Ba,PHC,Primary Health Centre,"Wadhona Bajar, RALEGAON",Yavatmal,MAHARASHTRA,20.311454000139037,78.62365699959577,3893,194552
Porla,PHC,Primary Health Centre,"Porla, GADCHIROLI",Gadchiroli,MAHARASHTRA,20.312151000004746,79.97978200002669,3894,175040
Yenwa,PHC,Primary Health Centre,"Yerla, HINGANGHAT",Wardha,MAHARASHTRA,20.31887199975758,78.72528099930493,3896,192948
Kalambeshwar,PHC,Primary Health Centre,"Sarshiv, MEHKAR",Buldhana,MAHARASHTRA,20.324667000066324,76.47445700061,3898,173024
Pinjar,PHC,Primary Health Centre,"Kinhiraja, MALEGAON",Washim,MAHARASHTRA,20.32485899986813,77.15340800066764,3899,193342
Medshi,PHC,Primary Health Centre,"Medshi, MALEGAON",Washim,MAHARASHTRA,20.327162999959885,76.94253400068146,3900,193352
Murumgaon,PHC,Primary Health Centre,"Ampayli, DHANORA",Gadchiroli,MAHARASHTRA,20.329576999752096,80.47742799988919,3902,174951
Shegaon,PHC,Primary Health Centre,"Shegaon Bk., WARORA",Chandrapur,MAHARASHTRA,20.33006470039822,79.15062009996545,3903,174150
Chandol,PHC,Primary Health Centre,"Chandol, BULDANA",Buldhana,MAHARASHTRA,20.334527000048745,76.01376099998566,3905,172501
Wadegaon,PHC,Primary Health Centre,"Sawarkhed Kh., CHIKHLI",Buldhana,MAHARASHTRA,20.342212999216493,76.51100999928978,3907,172585
Kapshi,PHC,Primary Health Centre,"Delap, MEHKAR",Buldhana,MAHARASHTRA,20.34599899976118,76.58375399984435,3909,173038
Hiwari,PHC,Primary Health Centre,"Kinhi, YAVATMAL",Yavatmal,MAHARASHTRA,20.346235999893636,78.08532700030314,3910,194802
Bori Bk,PHC,Primary Health Centre,"Bori Bk., DARWHA",Yavatmal,MAHARASHTRA,20.347202000159065,77.85736099974778,3911,193852
Sataragaon,PHC,Primary Health Centre,"Kohala, DARWHA",Yavatmal,MAHARASHTRA,20.353028959977525,77.61770347966853,3912,193886
Rangi,PHC,Primary Health Centre,"Rangi, DHANORA",Gadchiroli,MAHARASHTRA,20.358066000441223,80.19315699959539,3913,174960
Manbha,PHC,Primary Health Centre,"Kharbi, MANGRULPIR",Washim,MAHARASHTRA,20.35878999998385,77.35542300037476,3914,193444
Talegaon,PHC,Primary Health Centre,"Ghatkinhi, DARWHA",Yavatmal,MAHARASHTRA,20.370000000789254,77.75000000020644,3916,193870
